,id,type,PlanArea,Longitude,Latitude,YearBuilt,NumberOfStories,RoofShape,DWSII,BuildingType,OccupancyClass,MeanRoofHt,RoofSlope,geometry
0,,,,,,,,Flat,167,Wood,RES3,,1.05,
1,,,,,,,,Flat,167,Wood,RES3,,1.05,
2,,,,,,,,Flat,167,Wood,RES3,,1.05,
3,,,,,,,,Flat,167,Wood,RES3,,1.05,
4,,,,,,,,Flat,167,Wood,RES3,,1.05,
5,,,,,,,,Flat,167,Wood,RES3,,1.05,
6,,,,,,,,Flat,167,Wood,RES3,,1.05,
7,,,,,,,,Flat,167,Wood,RES3,,1.05,
8,,,,,,,,Flat,167,Wood,RES3,,1.05,
9,,,,,,,,Flat,167,Wood,RES3,,1.05,
10,,,,,,,,Flat,167,Wood,RES3,,1.05,
11,,,,,,,,Flat,167,Wood,RES3,,1.05,
12,,,,,,,,Flat,167,Wood,RES3,,1.05,
13,,,,,,,,Flat,167,Wood,RES3,,1.05,
14,,,,,,,,Flat,167,Wood,RES3,,1.05,
15,,,,,,,,Flat,167,Wood,RES3,,1.05,
16,,,,,,,,Flat,167,Wood,RES3,,1.05,
17,,,,,,,,Flat,167,Wood,RES3,,1.05,
18,,,,,,,,Flat,167,Wood,RES3,,1.05,
19,,,,,,,,Flat,167,Wood,RES3,,1.05,
20,,,,,,,,Flat,167,Wood,RES3,,1.05,
21,,,,,,,,Flat,167,Wood,RES3,,1.05,
22,,,,,,,,Flat,167,Wood,RES3,,1.05,
23,,,,,,,,Flat,167,Wood,RES3,,1.05,
24,,,,,,,,Flat,167,Wood,RES3,,1.05,
25,,,,,,,,Flat,167,Wood,RES3,,1.05,
26,,,,,,,,Flat,167,Wood,RES3,,1.05,
27,,,,,,,,Flat,167,Wood,RES3,,1.05,
28,,,,,,,,Flat,167,Wood,RES3,,1.05,
29,,,,,,,,Flat,167,Wood,RES3,,1.05,
30,,,,,,,,Flat,167,Wood,RES3,,1.05,
31,,,,,,,,Flat,167,Wood,RES3,,1.05,
32,,,,,,,,Flat,167,Wood,RES3,,1.05,
33,,,,,,,,Flat,167,Wood,RES3,,1.05,
34,,,,,,,,Flat,167,Wood,RES3,,1.05,
35,,,,,,,,Flat,167,Wood,RES3,,1.05,
36,,,,,,,,Flat,167,Wood,RES3,,1.05,
37,,,,,,,,Flat,167,Wood,RES3,,1.05,
38,,,,,,,,Flat,167,Wood,RES3,,1.05,
39,,,,,,,,Flat,167,Wood,RES3,,1.05,
40,,,,,,,,Flat,167,Wood,RES3,,1.05,
41,,,,,,,,Flat,167,Wood,RES3,,1.05,
42,,,,,,,,Flat,167,Wood,RES3,,1.05,
43,,,,,,,,Flat,167,Wood,RES3,,1.05,
44,,,,,,,,Flat,167,Wood,RES3,,1.05,
45,,,,,,,,Flat,167,Wood,RES3,,1.05,
46,,,,,,,,Flat,167,Wood,RES3,,1.05,
47,,,,,,,,Flat,167,Wood,RES3,,1.05,
48,,,,,,,,Flat,167,Wood,RES3,,1.05,
49,,,,,,,,Flat,167,Wood,RES3,,1.05,
50,,,,,,,,Flat,167,Wood,RES3,,1.05,
51,,,,,,,,Flat,167,Wood,RES3,,1.05,
52,,,,,,,,Flat,167,Wood,RES3,,1.05,
53,,,,,,,,Flat,167,Wood,RES3,,1.05,
54,,,,,,,,Flat,167,Wood,RES3,,1.05,
55,,,,,,,,Flat,167,Wood,RES3,,1.05,
56,,,,,,,,Flat,167,Wood,RES3,,1.05,
57,,,,,,,,Flat,167,Wood,RES3,,1.05,
58,,,,,,,,Flat,167,Wood,RES3,,1.05,
59,,,,,,,,Flat,167,Wood,RES3,,1.05,
60,,,,,,,,Flat,167,Wood,RES3,,1.05,
61,,,,,,,,Flat,167,Wood,RES3,,1.05,
62,,,,,,,,Flat,167,Wood,RES3,,1.05,
63,,,,,,,,Flat,167,Wood,RES3,,1.05,
64,,,,,,,,Flat,167,Wood,RES3,,1.05,
65,,,,,,,,Flat,167,Wood,RES3,,1.05,
66,,,,,,,,Flat,167,Wood,RES3,,1.05,
67,,,,,,,,Flat,167,Wood,RES3,,1.05,
68,,,,,,,,Flat,167,Wood,RES3,,1.05,
69,,,,,,,,Flat,167,Wood,RES3,,1.05,
70,,,,,,,,Flat,167,Wood,RES3,,1.05,
71,,,,,,,,Flat,167,Wood,RES3,,1.05,
72,,,,,,,,Flat,167,Wood,RES3,,1.05,
73,,,,,,,,Flat,167,Wood,RES3,,1.05,
74,,,,,,,,Flat,167,Wood,RES3,,1.05,
75,,,,,,,,Flat,167,Wood,RES3,,1.05,
76,,,,,,,,Flat,167,Wood,RES3,,1.05,
77,,,,,,,,Flat,167,Wood,RES3,,1.05,
78,,,,,,,,Flat,167,Wood,RES3,,1.05,
79,,,,,,,,Flat,167,Wood,RES3,,1.05,
80,,,,,,,,Flat,167,Wood,RES3,,1.05,
81,,,,,,,,Flat,167,Wood,RES3,,1.05,
82,,,,,,,,Flat,167,Wood,RES3,,1.05,
83,,,,,,,,Flat,167,Wood,RES3,,1.05,
84,,,,,,,,Flat,167,Wood,RES3,,1.05,
85,,,,,,,,Flat,167,Wood,RES3,,1.05,
86,,,,,,,,Flat,167,Wood,RES3,,1.05,
87,,,,,,,,Flat,167,Wood,RES3,,1.05,
88,,,,,,,,Flat,167,Wood,RES3,,1.05,
89,,,,,,,,Flat,167,Wood,RES3,,1.05,
90,,,,,,,,Flat,167,Wood,RES3,,1.05,
91,,,,,,,,Flat,167,Wood,RES3,,1.05,
92,,,,,,,,Flat,167,Wood,RES3,,1.05,
93,,,,,,,,Flat,167,Wood,RES3,,1.05,
94,,,,,,,,Flat,167,Wood,RES3,,1.05,
95,,,,,,,,Flat,167,Wood,RES3,,1.05,
96,,,,,,,,Flat,167,Wood,RES3,,1.05,
97,,,,,,,,Flat,167,Wood,RES3,,1.05,
98,,,,,,,,Flat,167,Wood,RES3,,1.05,
99,,,,,,,,Flat,167,Wood,RES3,,1.05,
100,,,,,,,,Flat,167,Wood,RES3,,1.05,
101,,,,,,,,Flat,167,Wood,RES3,,1.05,
102,,,,,,,,Flat,167,Wood,RES3,,1.05,
103,,,,,,,,Flat,167,Wood,RES3,,1.05,
104,,,,,,,,Flat,167,Wood,RES3,,1.05,
105,,,,,,,,Flat,167,Wood,RES3,,1.05,
106,,,,,,,,Flat,167,Wood,RES3,,1.05,
107,,,,,,,,Flat,167,Wood,RES3,,1.05,
108,,,,,,,,Flat,167,Wood,RES3,,1.05,
109,,,,,,,,Flat,167,Wood,RES3,,1.05,
110,,,,,,,,Flat,167,Wood,RES3,,1.05,
111,,,,,,,,Flat,167,Wood,RES3,,1.05,
112,,,,,,,,Flat,167,Wood,RES3,,1.05,
113,,,,,,,,Flat,167,Wood,RES3,,1.05,
114,,,,,,,,Flat,167,Wood,RES3,,1.05,
115,,,,,,,,Flat,167,Wood,RES3,,1.05,
116,,,,,,,,Flat,167,Wood,RES3,,1.05,
117,,,,,,,,Flat,167,Wood,RES3,,1.05,
118,,,,,,,,Flat,167,Wood,RES3,,1.05,
119,,,,,,,,Flat,167,Wood,RES3,,1.05,
120,,,,,,,,Flat,167,Wood,RES3,,1.05,
121,,,,,,,,Flat,167,Wood,RES3,,1.05,
122,,,,,,,,Flat,167,Wood,RES3,,1.05,
123,,,,,,,,Flat,167,Wood,RES3,,1.05,
124,,,,,,,,Flat,167,Wood,RES3,,1.05,
125,,,,,,,,Flat,167,Wood,RES3,,1.05,
126,,,,,,,,Flat,167,Wood,RES3,,1.05,
127,,,,,,,,Flat,167,Wood,RES3,,1.05,
128,,,,,,,,Flat,167,Wood,RES3,,1.05,
129,,,,,,,,Flat,167,Wood,RES3,,1.05,
130,,,,,,,,Flat,167,Wood,RES3,,1.05,
131,,,,,,,,Flat,167,Wood,RES3,,1.05,
132,,,,,,,,Flat,167,Wood,RES3,,1.05,
133,,,,,,,,Flat,167,Wood,RES3,,1.05,
134,,,,,,,,Flat,167,Wood,RES3,,1.05,
135,,,,,,,,Flat,167,Wood,RES3,,1.05,
136,,,,,,,,Flat,167,Wood,RES3,,1.05,
137,,,,,,,,Flat,167,Wood,RES3,,1.05,
138,,,,,,,,Flat,167,Wood,RES3,,1.05,
139,,,,,,,,Flat,167,Wood,RES3,,1.05,
140,,,,,,,,Flat,167,Wood,RES3,,1.05,
141,,,,,,,,Flat,167,Wood,RES3,,1.05,
142,,,,,,,,Flat,167,Wood,RES3,,1.05,
143,,,,,,,,Flat,167,Wood,RES3,,1.05,
144,,,,,,,,Flat,167,Wood,RES3,,1.05,
145,,,,,,,,Flat,167,Wood,RES3,,1.05,
146,,,,,,,,Flat,167,Wood,RES3,,1.05,
147,,,,,,,,Flat,167,Wood,RES3,,1.05,
148,,,,,,,,Flat,167,Wood,RES3,,1.05,
149,,,,,,,,Flat,167,Wood,RES3,,1.05,
150,,,,,,,,Flat,167,Wood,RES3,,1.05,
151,,,,,,,,Flat,167,Wood,RES3,,1.05,
152,,,,,,,,Flat,167,Wood,RES3,,1.05,
153,,,,,,,,Flat,167,Wood,RES3,,1.05,
154,,,,,,,,Flat,167,Wood,RES3,,1.05,
155,,,,,,,,Flat,167,Wood,RES3,,1.05,
156,,,,,,,,Flat,167,Wood,RES3,,1.05,
157,,,,,,,,Flat,167,Wood,RES3,,1.05,
158,,,,,,,,Flat,167,Wood,RES3,,1.05,
159,,,,,,,,Flat,167,Wood,RES3,,1.05,
160,,,,,,,,Flat,167,Wood,RES3,,1.05,
161,,,,,,,,Flat,167,Wood,RES3,,1.05,
162,,,,,,,,Flat,167,Wood,RES3,,1.05,
163,,,,,,,,Flat,167,Wood,RES3,,1.05,
164,,,,,,,,Flat,167,Wood,RES3,,1.05,
165,,,,,,,,Flat,167,Wood,RES3,,1.05,
166,,,,,,,,Flat,167,Wood,RES3,,1.05,
167,,,,,,,,Flat,167,Wood,RES3,,1.05,
168,,,,,,,,Flat,167,Wood,RES3,,1.05,
169,,,,,,,,Flat,167,Wood,RES3,,1.05,
170,,,,,,,,Flat,167,Wood,RES3,,1.05,
171,,,,,,,,Flat,167,Wood,RES3,,1.05,
172,,,,,,,,Flat,167,Wood,RES3,,1.05,
173,,,,,,,,Flat,167,Wood,RES3,,1.05,
174,,,,,,,,Flat,167,Wood,RES3,,1.05,
175,,,,,,,,Flat,167,Wood,RES3,,1.05,
176,,,,,,,,Flat,167,Wood,RES3,,1.05,
177,,,,,,,,Flat,167,Wood,RES3,,1.05,
178,,,,,,,,Flat,167,Wood,RES3,,1.05,
179,,,,,,,,Flat,167,Wood,RES3,,1.05,
180,,,,,,,,Flat,167,Wood,RES3,,1.05,
181,,,,,,,,Flat,167,Wood,RES3,,1.05,
182,,,,,,,,Flat,167,Wood,RES3,,1.05,
183,,,,,,,,Flat,167,Wood,RES3,,1.05,
184,,,,,,,,Flat,167,Wood,RES3,,1.05,
185,,,,,,,,Flat,167,Wood,RES3,,1.05,
186,,,,,,,,Flat,167,Wood,RES3,,1.05,
187,,,,,,,,Flat,167,Wood,RES3,,1.05,
188,,,,,,,,Flat,167,Wood,RES3,,1.05,
189,,,,,,,,Flat,167,Wood,RES3,,1.05,
190,,,,,,,,Flat,167,Wood,RES3,,1.05,
191,,,,,,,,Flat,167,Wood,RES3,,1.05,
192,,,,,,,,Flat,167,Wood,RES3,,1.05,
193,,,,,,,,Flat,167,Wood,RES3,,1.05,
194,,,,,,,,Flat,167,Wood,RES3,,1.05,
195,,,,,,,,Flat,167,Wood,RES3,,1.05,
196,,,,,,,,Flat,167,Wood,RES3,,1.05,
197,,,,,,,,Flat,167,Wood,RES3,,1.05,
198,,,,,,,,Flat,167,Wood,RES3,,1.05,
199,,,,,,,,Flat,167,Wood,RES3,,1.05,
200,,,,,,,,Flat,167,Wood,RES3,,1.05,
201,,,,,,,,Flat,167,Wood,RES3,,1.05,
202,,,,,,,,Flat,167,Wood,RES3,,1.05,
203,,,,,,,,Flat,167,Wood,RES3,,1.05,
204,,,,,,,,Flat,167,Wood,RES3,,1.05,
205,,,,,,,,Flat,167,Wood,RES3,,1.05,
206,,,,,,,,Flat,167,Wood,RES3,,1.05,
207,,,,,,,,Flat,167,Wood,RES3,,1.05,
208,,,,,,,,Flat,167,Wood,RES3,,1.05,
209,,,,,,,,Flat,167,Wood,RES3,,1.05,
210,,,,,,,,Flat,167,Wood,RES3,,1.05,
211,,,,,,,,Flat,167,Wood,RES3,,1.05,
212,,,,,,,,Flat,167,Wood,RES3,,1.05,
213,,,,,,,,Flat,167,Wood,RES3,,1.05,
214,,,,,,,,Flat,167,Wood,RES3,,1.05,
215,,,,,,,,Flat,167,Wood,RES3,,1.05,
216,,,,,,,,Flat,167,Wood,RES3,,1.05,
217,,,,,,,,Flat,167,Wood,RES3,,1.05,
218,,,,,,,,Flat,167,Wood,RES3,,1.05,
219,,,,,,,,Flat,167,Wood,RES3,,1.05,
220,,,,,,,,Flat,167,Wood,RES3,,1.05,
221,,,,,,,,Flat,167,Wood,RES3,,1.05,
222,,,,,,,,Flat,167,Wood,RES3,,1.05,
223,,,,,,,,Flat,167,Wood,RES3,,1.05,
224,,,,,,,,Flat,167,Wood,RES3,,1.05,
225,,,,,,,,Flat,167,Wood,RES3,,1.05,
226,,,,,,,,Flat,167,Wood,RES3,,1.05,
227,,,,,,,,Flat,167,Wood,RES3,,1.05,
228,,,,,,,,Flat,167,Wood,RES3,,1.05,
229,,,,,,,,Flat,167,Wood,RES3,,1.05,
230,,,,,,,,Flat,167,Wood,RES3,,1.05,
231,,,,,,,,Flat,167,Wood,RES3,,1.05,
232,,,,,,,,Flat,167,Wood,RES3,,1.05,
233,,,,,,,,Flat,167,Wood,RES3,,1.05,
234,,,,,,,,Flat,167,Wood,RES3,,1.05,
235,,,,,,,,Flat,167,Wood,RES3,,1.05,
236,,,,,,,,Flat,167,Wood,RES3,,1.05,
237,,,,,,,,Flat,167,Wood,RES3,,1.05,
238,,,,,,,,Flat,167,Wood,RES3,,1.05,
239,,,,,,,,Flat,167,Wood,RES3,,1.05,
240,,,,,,,,Flat,167,Wood,RES3,,1.05,
241,,,,,,,,Flat,167,Wood,RES3,,1.05,
242,,,,,,,,Flat,167,Wood,RES3,,1.05,
243,,,,,,,,Flat,167,Wood,RES3,,1.05,
244,,,,,,,,Flat,167,Wood,RES3,,1.05,
245,,,,,,,,Flat,167,Wood,RES3,,1.05,
246,,,,,,,,Flat,167,Wood,RES3,,1.05,
247,,,,,,,,Flat,167,Wood,RES3,,1.05,
248,,,,,,,,Flat,167,Wood,RES3,,1.05,
249,,,,,,,,Flat,167,Wood,RES3,,1.05,
250,,,,,,,,Flat,167,Wood,RES3,,1.05,
251,,,,,,,,Flat,167,Wood,RES3,,1.05,
252,,,,,,,,Flat,167,Wood,RES3,,1.05,
253,,,,,,,,Flat,167,Wood,RES3,,1.05,
254,,,,,,,,Flat,167,Wood,RES3,,1.05,
255,,,,,,,,Flat,167,Wood,RES3,,1.05,
256,,,,,,,,Flat,167,Wood,RES3,,1.05,
257,,,,,,,,Flat,167,Wood,RES3,,1.05,
258,,,,,,,,Flat,167,Wood,RES3,,1.05,
259,,,,,,,,Flat,167,Wood,RES3,,1.05,
260,,,,,,,,Flat,167,Wood,RES3,,1.05,
261,,,,,,,,Flat,167,Wood,RES3,,1.05,
262,,,,,,,,Flat,167,Wood,RES3,,1.05,
263,,,,,,,,Flat,167,Wood,RES3,,1.05,
264,,,,,,,,Flat,167,Wood,RES3,,1.05,
265,,,,,,,,Flat,167,Wood,RES3,,1.05,
266,,,,,,,,Flat,167,Wood,RES3,,1.05,
267,,,,,,,,Flat,167,Wood,RES3,,1.05,
268,,,,,,,,Flat,167,Wood,RES3,,1.05,
269,,,,,,,,Flat,167,Wood,RES3,,1.05,
270,,,,,,,,Flat,167,Wood,RES3,,1.05,
271,,,,,,,,Flat,167,Wood,RES3,,1.05,
272,,,,,,,,Flat,167,Wood,RES3,,1.05,
273,,,,,,,,Flat,167,Wood,RES3,,1.05,
274,,,,,,,,Flat,167,Wood,RES3,,1.05,
275,,,,,,,,Flat,167,Wood,RES3,,1.05,
276,,,,,,,,Flat,167,Wood,RES3,,1.05,
277,,,,,,,,Flat,167,Wood,RES3,,1.05,
278,,,,,,,,Flat,167,Wood,RES3,,1.05,
279,,,,,,,,Flat,167,Wood,RES3,,1.05,
280,,,,,,,,Flat,167,Wood,RES3,,1.05,
281,,,,,,,,Flat,167,Wood,RES3,,1.05,
282,,,,,,,,Flat,167,Wood,RES3,,1.05,
283,,,,,,,,Flat,167,Wood,RES3,,1.05,
284,,,,,,,,Flat,167,Wood,RES3,,1.05,
285,,,,,,,,Flat,167,Wood,RES3,,1.05,
286,,,,,,,,Flat,167,Wood,RES3,,1.05,
287,,,,,,,,Flat,167,Wood,RES3,,1.05,
288,,,,,,,,Flat,167,Wood,RES3,,1.05,
289,,,,,,,,Flat,167,Wood,RES3,,1.05,
290,,,,,,,,Flat,167,Wood,RES3,,1.05,
291,,,,,,,,Flat,167,Wood,RES3,,1.05,
292,,,,,,,,Flat,167,Wood,RES3,,1.05,
293,,,,,,,,Flat,167,Wood,RES3,,1.05,
294,,,,,,,,Flat,167,Wood,RES3,,1.05,
295,,,,,,,,Flat,167,Wood,RES3,,1.05,
296,,,,,,,,Flat,167,Wood,RES3,,1.05,
297,,,,,,,,Flat,167,Wood,RES3,,1.05,
298,,,,,,,,Flat,167,Wood,RES3,,1.05,
299,,,,,,,,Flat,167,Wood,RES3,,1.05,
300,,,,,,,,Flat,167,Wood,RES3,,1.05,
301,,,,,,,,Flat,167,Wood,RES3,,1.05,
302,,,,,,,,Flat,167,Wood,RES3,,1.05,
303,,,,,,,,Flat,167,Wood,RES3,,1.05,
304,,,,,,,,Flat,167,Wood,RES3,,1.05,
305,,,,,,,,Flat,167,Wood,RES3,,1.05,
306,,,,,,,,Flat,167,Wood,RES3,,1.05,
307,,,,,,,,Flat,167,Wood,RES3,,1.05,
308,,,,,,,,Flat,167,Wood,RES3,,1.05,
309,,,,,,,,Flat,167,Wood,RES3,,1.05,
